epoch,training_acc,training_loss
0,70.73,492.04
1,75.15,295.04
2,78.49,236.07
3,80.43,202.42
4,81.71,180.86
5,82.64,162.95
6,84.92,146.57
7,83.99,134.25
8,84.64,124.55
9,86.07,113.13
10,85.55,107.44
11,86.39,98.41
12,89.13,45.08
13,89.48,24.47
14,89.32,15.7
15,89.33,11.11
16,89.39,7.51
17,89.25,5.62
18,88.99,5.23
19,89.0,4.54
20,88.78,4.01
21,88.31,4.74
22,88.74,4.23
23,89.1,2.27
24,89.15,1.91
25,89.06,1.69
26,89.12,1.57
27,89.18,1.45
28,89.18,1.39
29,89.18,1.37
30,89.3,1.3
31,89.19,1.34
32,89.06,1.3
33,89.15,1.18
34,89.15,1.25
35,89.13,1.3
36,89.18,1.16
37,89.25,1.16
38,89.23,1.2
39,89.11,1.11
40,89.19,1.16
41,89.19,1.25
42,89.22,1.2
43,89.26,1.14
44,89.12,1.15
45,89.2,1.17
46,89.22,1.13
47,89.1,1.15
48,89.2,1.12
49,89.12,1.12
